subject;group_size
professional_law;1534
moral_scenarios;895
miscellaneous;783
professional_psychology;612
high_school_psychology;545
high_school_macroeconomics;390
elementary_mathematics;378
moral_disputes;346
prehistory;324
philosophy;311
high_school_biology;310
nutrition;306
professional_accounting;282
professional_medicine;272
high_school_mathematics;270
clinical_knowledge;265
security_studies;245
high_school_microeconomics;238
high_school_world_history;237
conceptual_physics;235
marketing;234
human_aging;223
high_school_statistics;216
high_school_us_history;204
high_school_chemistry;203
sociology;201
high_school_geography;198
high_school_government_and_politics;193
college_medicine;173
world_religions;171
virology;166
high_school_european_history;165
logical_fallacies;163
astronomy;152
high_school_physics;151
electrical_engineering;145
college_biology;144
anatomy;135
human_sexuality;131
formal_logic;126
international_law;121
econometrics;114
machine_learning;112
public_relations;110
jurisprudence;108
management;103
college_physics;102
us_foreign_policy;100
business_ethics;100
college_mathematics;100
college_chemistry;100
college_computer_science;100
high_school_computer_science;100
computer_security;100
global_facts;100
medical_genetics;100
abstract_algebra;100
